Race,Year,Date,Finishers,Latitude,Longitude,MEAN_PM25,MEDIAN_PM25,MAX_PM25,MIN_PM25,RH2M,T2M,T2M_MIN,T2M_MAX,T2MDEW,T2MWET,WS2M,WS2M_MIN,WS2M_MAX,ALLSKY_SFC_UV_INDEX,CLOUD_AMT_DAY,PRECTOTCORR
Maine Marathon,2023,10/1/23,904,43.6591,-70.2568,35.7,35.7,43.3,28.1,88.06,15.77,13.06,19.02,13.73,14.75,2.08,0.39,3.9,0.81,3.45,0.03
Cape Cod Marathon,2023,10/8/23,897,41.5532,-70.6083,NA,NA,NA,NA,75.22,15.05,13.05,16.65,10.65,12.85,8.04,5.79,9.13,1.05,15.82,0.25
Steamtown Marathon,2023,10/8/23,867,41.4089,-75.6624,2.5125,2.45,3.1,2.2,78.69,8.64,4.96,12.56,4.94,6.79,0,0,0,0.64,88.6,0.42
Rehoboth Seashore Marathon,2023,12/2/23,861,38.7209,-75.076,NA,NA,NA,NA,95.65,12.69,11.31,14.26,12.02,12.35,2.53,0.97,5.9,0.21,99.09,3.2
Space Coast Marathon,2023,11/26/23,858,28.2639,-80.7214,NA,NA,NA,NA,85.75,23.61,22.02,25.52,21.09,22.35,3.13,1.52,5.43,0.49,98.57,4.4
Carlsbad Marathon,2023,1/15/23,823,33.1581,-117.3506,8.96,8.2,12.5,5.3,88.33,13.56,12.53,14.96,11.65,12.6,4.43,2.79,6.39,0.37,99.2,10.42
The Woodlands Marathon,2023,3/4/23,822,30.1658,-95.4613,16.41111111,14.1,29.5,9.4,75.36,15.46,7.32,24.49,10.43,12.94,1.04,0.16,1.65,1.61,0.38,0
Tucson Marathon,2023,12/10/23,819,32.2226,-110.9747,3.58,3.55,7.9,-0.7,19,10.44,4.13,21.78,-12.63,-1.1,4.91,1.34,8.03,0.63,0.6,0
Lincoln Marathon,2023,5/7/23,798,40.8136,-96.7026,7.968181818,6.7,18.3,3.3,69.34,21.64,15.06,30.67,14.82,18.23,3.38,0.44,5.65,2.09,39.36,4.08
Route 66 Marathon,2023,11/19/23,785,36.1539,-95.9928,6.4,6.05,12,2,80.99,12.07,8.48,17.07,8.84,10.46,4.61,1.75,7.09,0.27,96.67,9.72
Colorado Marathon,2023,5/7/23,784,40.5853,-105.0844,7.65,7.5,11.9,1.5,44.88,11.99,5.59,18.46,-0.26,5.87,1.05,0.41,2.17,1.85,90.78,0.62
Tobacco Road Marathon,2023,3/19/23,779,35.8726,-78.8427,1.9,1.9,1.9,1.9,59.15,3.75,0.02,8.92,-4.17,-0.21,0.58,0.26,0.86,1.5,3.34,0
Jack and Jill's Downhill Saturday Marathon,2023,7/29/23,761,47.4447,-121.667,4.085714286,3.9,5.4,3.1,80.4,16.35,11.74,21.5,12.6,14.47,0.19,0.09,0.42,2.26,21.9,0.17
Ventura Marathon,2023,2/26/23,758,34.2746,-119.229,8.1,4.7,30.5,-0.6,88.72,3.49,-1.71,8.6,1.6,2.55,0.87,0.55,1.15,0.71,50.77,1.04
Light at the End of the Tunnel Marathon,2023,6/11/23,757,47.3903,-121.4811,8.7,8.4,14.4,4.7,83.88,13.03,6.28,19.88,9.99,11.51,0.07,0.01,0.23,1.94,51.69,0.32
