Race,Year,Date,Finishers,Latitude,Longitude,MEAN_PM25,MEDIAN_PM25,MAX_PM25,MIN_PM25,RH2M,T2M,T2M_MIN,T2M_MAX,T2MDEW,T2MWET,WS2M,WS2M_MIN,WS2M_MAX,ALLSKY_SFC_UV_INDEX,CLOUD_AMT_DAY,PRECTOTCORR
Des Moines St. Paddy's Marathon,2023,3/18/23,129,41.5868,-93.625,4.680733945,4.4,11,-1,59.99,-7.37,-10.47,-3.35,-13.69,-10.53,6.37,3.34,7.54,0.83,80.13,0.09
Hatfield-McCoy Marathon,2023,6/10/23,129,37.6681,-82.2908,26.075,26.1,27.8,24.3,54.29,19.89,10.75,27.79,9.33,14.61,0.08,0,0.46,2.29,39.49,0
Jackson River Scenic Trail Marathon,2023,6/3/23,128,37.7832,-79.998,NA,NA,NA,NA,67.07,20.07,12.96,27.78,13.13,16.6,0.07,0,0.66,1.94,42.97,3.55
Philadelphia Trail Marathon,2023,4/23/23,128,40.0536,-75.2306,5.376470588,5.4,7.4,4.1,69.54,14.06,7.21,19.46,7.92,10.99,2.73,0.28,4.45,1.43,52.37,6.32
Whitefish Marathon,2023,5/20/23,127,48.4117,-114.335,42.2,42.2,61.9,22.5,64.04,19.06,11.14,24.87,11.26,15.16,0.41,0.02,0.86,1.82,53.95,0.27
Ohio River Road Runners Club Marathon,2023,4/2/23,125,39.7589,-84.1916,3.878571429,3.6,6.1,2.9,77.74,5.12,-0.24,11.06,1.24,3.18,2.36,0.83,3.62,1.31,60.84,0.02
Queens Marathon (Fall),2023,11/19/23,124,40.7282,-73.7949,6.35,5.75,8.9,5,71.46,8.54,5.46,12.17,3.56,6.05,4.47,3.52,6.53,0.37,2.89,0
Veterans Marathon,2023,11/11/23,124,41.4469,-85.2622,4.736363636,4.8,6.9,3.2,76.47,3.59,-2.2,10.62,-0.56,1.51,1.21,0.41,1.69,0.48,15.28,0
White River Marathon for Kenya (prev Mountain Home Marathon for Kenya),2023,11/18/23,124,36.332,-92.3813,5.4,5.4,5.4,5.4,51.53,10.09,2.25,17.77,-1,4.55,0.23,0.04,0.7,0.64,0.96,0
Belleville Main Street Marathon,2023,9/30/23,123,38.5201,-89.9839,8.822222222,8.4,14.4,4.5,64.29,24.17,17.97,32.76,16.07,20.12,1.42,0.75,2.53,1.52,10.43,0
Estes Park Marathon,2023,6/18/23,123,40.3772,-105.5217,21.29459459,22.6,38.7,4.9,56.68,12.3,3.93,20.06,3.04,7.67,1.12,0.4,1.49,2.33,74.4,0.09
Apple Tree Marathon,2023,9/17/23,122,45.628,-122.6742,5.56,4.4,8.5,3.6,60.97,16.41,10.21,24.84,6.68,11.55,0.53,0.29,0.84,1.2,91.1,0
Shiprock Marathon,2023,5/6/23,122,36.785,-108.687,11.88,13.85,17.5,3.7,43.92,12.09,3.89,20.31,-1.65,5.22,2.3,0.25,4.91,2.86,7.72,0
Charles River Marathon,2023,9/10/23,121,42.3624,-71.0878,7.5,7.2,8.8,6.7,89.4,22.41,19.72,25.72,20.4,21.4,0.21,0.05,0.37,0.79,97.96,12.16
Rogue Run Marathon,2023,10/14/23,120,42.439,-123.3284,5.294117647,4.4,16.4,2.2,73.77,12.52,6.85,19.53,7.64,10.08,0.34,0.13,0.7,0.61,99.6,0.03
RDC Marathon,2023,10/29/23,119,36.0037,-78.9072,10.9,10.9,11.1,10.7,74.8,19.91,13.81,27.88,14.69,17.3,0.24,0.16,0.46,0.93,5.15,0
Seabrook Lucky Trail Marathon,2023,3/18/23,118,29.563,-95.0255,4.785714286,4.8,5.8,3.9,63.61,10.98,9.01,13.43,4.11,7.54,4.85,2.96,6.2,0.76,98.54,0.52
USA Fit Marathon,2023,1/29/23,118,29.7805,-95.7314,7.181818182,7.2,8.7,5.6,92.95,17.06,8.73,22.81,15.82,16.44,2.18,1.36,3.26,0.44,88.72,33.47
Abebe Bikila Day International Peace Marathon,2023,9/9/23,116,38.9955,-77.0269,7.725,7.95,9.8,4.7,77.52,25.59,22.11,30.86,20.74,23.17,1.37,0.64,2.35,1.46,72.69,8.65
Heart of America Marathon,2023,9/4/23,115,38.9517,-92.3341,8.79,8.45,12.5,6.6,69.73,27.05,22.94,33.13,20.66,23.86,3.04,1.79,4.05,2.03,26.5,0.04
Vernonia Marathon,2023,4/16/23,115,45.859,-123.1865,6.45,6.45,6.6,6.3,93.92,4.91,1.94,7.21,4,4.45,0.12,0.09,0.14,0.57,96.71,13.26
Mesa Falls Marathon,2023,7/15/23,114,44.0058,-111.6843,34.16,44.2,47.3,6.9,42.88,22.1,12.45,29.86,7.23,14.67,1.47,0.17,2.92,2.78,4.13,0
Golden Driller Marathon,2023,4/15/23,113,36.1539,-95.9928,7.021428571,7.1,9.5,3.2,67.39,16.95,8.19,21.17,10.24,13.59,5.25,2.91,7.44,1.08,89.99,0
Lubbock Mayor's Marathon,2023,10/29/23,113,33.5779,-101.8552,7.75,8.65,12.2,1.7,68.25,3.21,0.69,9.34,-2.2,0.5,5.6,5,6.21,0.72,53.41,3.06
Silverton Alpine Marathon,2023,7/8/23,113,37.8114,-107,6.857142857,6.9,8.5,5.3,45.81,13.73,3.63,22.74,-0.39,6.67,2.4,0.74,4.72,3.7,11.05,0.05
